*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(26.419708, 4.0, -10.254875)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(7.134018, 4.0, -3.4332237)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-20.08528, 4.0, 16.634064)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-12.630743, 4.0, 1.0160255)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(31.188646, 4.0, -27.143763)
NEWD!A!5!templateshirt.JPG!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(8.540983, 4.0, -10.629776)
0$B(0.0, -4.1499996, 0.0)$0P$(26.419708, 4.0, -10.254875)$258.07$leftShoulderJoint:(0.5096054, -0.8190238, -2.9742472E-8, 0.26363277);leftElbowJoint:(0.094918676, -0.26874703, 3.4160497E-8, 0.95852256);rightShoulderJoint:(-0.70354813, 0.6833332, 1.0647465E-7, 0.19512987);rightElbowJoint:(0.07100155, -0.14319642, 1.8205292E-9, 0.9871442);$0.0$1A$(7.134018, 4.0, -3.4332237)$109.72355$0$4.0$2A$(-20.08528, 4.0, 16.634064)$120.280334$0$4.0$3A$(-12.630743, 4.0, 1.0160255)$106.343475$0$4.0$4A$(31.188646, 4.0, -27.143763)$282.33316$0$0.0$5A$(8.540983, 4.0, -10.629776)$260.3942$0$0.0$
19$B(26.407745, 3.1272528, -11.682731)$0P$(26.424545, 4.0787244, -10.254885)$264.832$leftShoulderJoint:(0.12896271, -0.034135435, -3.6510874E-9, 0.99106175);leftElbowJoint:(-0.20293628, 0.18485641, -2.3497142E-8, 0.9615846);rightShoulderJoint:(0.058048654, -0.0027538617, -1.652947E-9, 0.99830997);rightElbowJoint:(-0.07190384, 0.09989787, -1.8436644E-9, 0.99239624);$0.0$1A$(8.253678, 4.0781226, -4.0065217)$119.72355$0$4.0$2A$(-19.257862, 4.0608115, 15.655557)$138.47499$0$4.0$3A$(-11.57908, 4.0546093, 0.27003944)$124.53814$0$4.0$4A$(30.142416, 4.07681, -27.59238)$243.3613$0$4.0$5A$(8.540961, 4.0773883, -10.62983)$239.3954$0$0.0$
20$B(26.407745, 3.1272528, -11.682731)$0P$(26.424545, 4.0787244, -10.254885)$264.832$leftShoulderJoint:(0.12896271, -0.034135435, -3.6510874E-9, 0.99106175);leftElbowJoint:(-0.20293628, 0.18485641, -2.3497142E-8, 0.9615846);rightShoulderJoint:(0.058048654, -0.0027538617, -1.652947E-9, 0.99830997);rightElbowJoint:(-0.07190384, 0.09989787, -1.8436644E-9, 0.99239624);$0.0$1A$(8.311262, 4.0739713, -4.0358295)$119.72355$0$4.0$2A$(-19.214815, 4.0580864, 15.604651)$138.47499$0$4.0$3A$(-11.525149, 4.051884, 0.23084852)$124.53814$0$4.0$4A$(30.087639, 4.0769763, -27.623627)$246.30467$0$4.0$5A$(8.540961, 4.077502, -10.62983)$242.33878$0$0.0$
21$B(26.407745, 3.1272528, -11.682731)$0P$(26.424545, 4.0787244, -10.254885)$264.832$leftShoulderJoint:(0.12896271, -0.034135435, -3.6510874E-9, 0.99106175);leftElbowJoint:(-0.20293628, 0.18485641, -2.3497142E-8, 0.9615846);rightShoulderJoint:(0.058048654, -0.0027538617, -1.652947E-9, 0.99830997);rightElbowJoint:(-0.07190384, 0.09989787, -1.8436644E-9, 0.99239624);$0.0$1A$(8.366401, 4.074988, -4.064087)$119.72355$0$4.0$2A$(-19.177258, 4.0621395, 15.56023)$138.47499$0$4.0$3A$(-11.471265, 4.049159, 0.19159359)$124.53814$0$4.0$4A$(30.02989, 4.0784764, -27.643717)$243.24371$0$4.0$5A$(8.540961, 4.0775924, -10.62983)$245.39973$0$0.0$
22$B(26.407745, 3.1272528, -11.682731)$0P$(26.424545, 4.0787244, -10.254885)$264.832$leftShoulderJoint:(0.12896271, -0.034135435, -3.6510874E-9, 0.99106175);leftElbowJoint:(-0.20293628, 0.18485641, -2.3497142E-8, 0.9615846);rightShoulderJoint:(0.058048654, -0.0027538617, -1.652947E-9, 0.99830997);rightElbowJoint:(-0.07190384, 0.09989787, -1.8436644E-9, 0.99239624);$0.0$1A$(8.366401, 4.074988, -4.064087)$119.72355$0$4.0$2A$(-19.177258, 4.0621395, 15.56023)$138.47499$0$4.0$3A$(-11.471265, 4.049159, 0.19159359)$124.53814$0$4.0$4A$(30.02989, 4.0784764, -27.643717)$244.7209$0$4.0$5A$(8.540961, 4.0775924, -10.62983)$246.87692$0$0.0$
23$B(26.407745, 3.1272528, -11.682731)$0P$(26.424545, 4.0787244, -10.254885)$264.832$leftShoulderJoint:(0.12896271, -0.034135435, -3.6510874E-9, 0.99106175);leftElbowJoint:(-0.20293628, 0.18485641, -2.3497142E-8, 0.9615846);rightShoulderJoint:(0.058048654, -0.0027538617, -1.652947E-9, 0.99830997);rightElbowJoint:(-0.07190384, 0.09989787, -1.8436644E-9, 0.99239624);$0.0$1A$(8.421861, 4.075728, -4.092503)$119.72355$0$4.0$2A$(-19.13421, 4.0594144, 15.509325)$138.47499$0$4.0$3A$(-11.426044, 4.054971, 0.15857431)$124.53814$0$4.0$4A$(29.966682, 4.0757513, -27.66491)$241.72545$0$4.0$5A$(8.540961, 4.077665, -10.62983)$249.87238$0$0.0$
24$B(26.407745, 3.1272528, -11.682731)$0P$(26.424545, 4.0787244, -10.254885)$264.832$leftShoulderJoint:(0.12896271, -0.034135435, -3.6510874E-9, 0.99106175);leftElbowJoint:(-0.20293628, 0.18485641, -2.3497142E-8, 0.9615846);rightShoulderJoint:(0.058048654, -0.0027538617, -1.652947E-9, 0.99830997);rightElbowJoint:(-0.07190384, 0.09989787, -1.8436644E-9, 0.99239624);$0.0$1A$(8.477195, 4.0765533, -4.1208544)$119.72355$0$4.0$2A$(-19.09641, 4.063176, 15.464622)$138.47499$0$4.0$3A$(-11.372247, 4.052246, 0.119201586)$124.53814$0$4.0$4A$(29.923433, 4.0767846, -27.709156)$238.73721$0$4.0$5A$(8.540961, 4.077723, -10.629843)$252.86061$0$0.0$
25$B(26.407745, 3.1272528, -11.682731)$0P$(26.424545, 4.0787244, -10.254885)$267.185$leftShoulderJoint:(0.13138293, -0.042283297, -3.8876626E-9, 0.9904295);leftElbowJoint:(-0.1872805, 0.21214128, -2.696533E-8, 0.9591257);rightShoulderJoint:(0.058037207, -0.001233182, -1.4504503E-9, 0.99831367);rightElbowJoint:(-0.04726505, 0.07985861, -1.2119086E-9, 0.995685);$0.0$1A$(8.53247, 4.0774107, -4.149167)$119.72355$0$4.0$2A$(-19.053364, 4.060451, 15.413716)$138.47499$0$4.0$3A$(-11.318499, 4.049521, 0.07976115)$124.53814$0$4.0$4A$(29.87442, 4.0781636, -27.746027)$241.77109$0$4.0$5A$(8.540956, 4.077769, -10.629858)$255.89449$0$0.0$
26$B(26.394588, 3.1000364, -11.606771)$0P$(26.424545, 4.0787244, -10.254885)$267.185$leftShoulderJoint:(0.13508305, -0.03404464, -3.786064E-9, 0.9902492);leftElbowJoint:(-0.19776826, 0.20516744, -2.6078883E-8, 0.95853746);rightShoulderJoint:(0.060009673, -0.0037190027, -1.8247733E-9, 0.9981909);rightElbowJoint:(-0.052301705, 0.078182004, -1.341052E-9, 0.99556625);$0.0$1A$(8.586947, 4.0788746, -4.177027)$119.72355$0$4.0$2A$(-19.015398, 4.064008, 15.368818)$138.47499$0$4.0$3A$(-11.273309, 4.0552497, 0.046515446)$124.53814$0$4.0$4A$(29.811966, 4.074454, -27.765034)$244.40419$0$4.0$5A$(8.540949, 4.077805, -10.629875)$258.5276$0$0.0$
27$B(26.413664, 3.1000698, -11.610294)$0P$(26.424545, 4.0787244, -10.254885)$267.185$leftShoulderJoint:(0.13508305, -0.03404464, -3.786064E-9, 0.9902492);leftElbowJoint:(-0.19776826, 0.20516744, -2.6078883E-8, 0.95853746);rightShoulderJoint:(0.060009673, -0.0037190027, -1.8247733E-9, 0.9981909);rightElbowJoint:(-0.052301705, 0.078182004, -1.341052E-9, 0.99556625);$0.0$1A$(8.586947, 4.0788746, -4.177027)$119.72355$0$4.0$2A$(-19.015398, 4.064008, 15.368818)$138.47499$0$4.0$3A$(-11.273309, 4.0552497, 0.046515446)$124.53814$0$4.0$4A$(29.811966, 4.074454, -27.765034)$245.84294$0$4.0$5A$(8.540949, 4.077805, -10.629875)$259.96634$0$0.0$
28$B(26.413664, 3.1000698, -11.610294)$0P$(26.424545, 4.0787244, -10.254885)$267.185$leftShoulderJoint:(0.13508305, -0.03404464, -3.786064E-9, 0.9902492);leftElbowJoint:(-0.19776826, 0.20516744, -2.6078883E-8, 0.95853746);rightShoulderJoint:(0.060009673, -0.0037190027, -1.8247733E-9, 0.9981909);rightElbowJoint:(-0.052301705, 0.078182004, -1.341052E-9, 0.99556625);$0.0$1A$(8.646273, 4.0761495, -4.2074413)$119.72355$0$4.0$2A$(-18.972351, 4.061283, 15.317913)$138.47499$0$4.0$3A$(-11.219652, 4.0525246, 0.0069504455)$124.53814$0$4.0$4A$(29.750513, 4.0754485, -27.773016)$248.79436$0$4.0$5A$(8.540941, 4.0778327, -10.629895)$262.91776$0$0.0$
29$B(26.413664, 3.1000698, -11.610294)$0P$(26.424545, 4.0787244, -10.254885)$267.185$leftShoulderJoint:(0.13508305, -0.03404464, -3.786064E-9, 0.9902492);leftElbowJoint:(-0.19776826, 0.20516744, -2.6078883E-8, 0.95853746);rightShoulderJoint:(0.060009673, -0.0037190027, -1.8247733E-9, 0.9981909);rightElbowJoint:(-0.052301705, 0.078182004, -1.341052E-9, 0.99556625);$0.0$1A$(8.701322, 4.077189, -4.2356505)$119.72355$0$4.0$2A$(-18.934273, 4.064694, 15.272878)$138.47499$0$4.0$3A$(-11.166032, 4.0497994, -0.03266369)$124.53814$0$4.0$4A$(29.688274, 4.076223, -27.77173)$248.79436$0$4.0$5A$(8.540941, 4.077854, -10.629919)$265.62833$0$0.0$
30$B(26.413664, 3.1000698, -11.610294)$0P$(26.424545, 4.0787244, -10.254885)$267.185$leftShoulderJoint:(0.13508305, -0.03404464, -3.786064E-9, 0.9902492);leftElbowJoint:(-0.19776826, 0.20516744, -2.6078883E-8, 0.95853746);rightShoulderJoint:(0.060009673, -0.0037190027, -1.8247733E-9, 0.9981909);rightElbowJoint:(-0.052301705, 0.078182004, -1.341052E-9, 0.99556625);$0.0$1A$(8.756865, 4.07783, -4.2640724)$119.72355$0$4.0$2A$(-18.891226, 4.061969, 15.221972)$138.47499$0$4.0$3A$(-11.120877, 4.0554705, -0.06607905)$124.53814$0$4.0$4A$(29.629236, 4.077249, -27.790236)$245.45406$0$4.0$5A$(8.540941, 4.07787, -10.629946)$268.96863$0$0.0$
31$B(26.413664, 3.1000698, -11.610294)$0P$(26.424545, 4.0787244, -10.254885)$267.185$leftShoulderJoint:(0.13508305, -0.03404464, -3.786064E-9, 0.9902492);leftElbowJoint:(-0.19776826, 0.20516744, -2.6078883E-8, 0.95853746);rightShoulderJoint:(0.060009673, -0.0037190027, -1.8247733E-9, 0.9981909);rightElbowJoint:(-0.052301705, 0.078182004, -1.341052E-9, 0.99556625);$0.0$1A$(8.807558, 4.081898, -4.2897053)$119.72355$0$4.0$2A$(-18.853016, 4.0652223, 15.176784)$138.47499$0$4.0$3A$(-11.067329, 4.0527453, -0.10579182)$124.53814$0$4.0$4A$(29.587334, 4.0792427, -27.833712)$245.45406$0$4.0$5A$(8.540931, 4.077881, -10.629974)$271.56546$0$0.0$
