*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(41.442863, 4.0, -3.4252815)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(5.1782646, 4.0, -2.4962654)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-18.152615, 4.0, 1.1153564)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-7.595375, 4.0, -19.452581)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(30.006912, 4.0, -25.468725)
0$B(0.0, -4.1499996, 0.0)$0P$(41.442863, 4.0, -3.4252815)$270.0$0$0$1A$(5.1782646, 4.0, -2.4962654)$91.46747$0$1$2A$(-18.152615, 4.0, 1.1153564)$94.69237$0$1$3A$(-7.595375, 4.0, -19.452581)$72.23628$0$0$4A$(30.006912, 4.0, -25.468725)$281.0584$0$1$
NEWD!N!5!templateshirt.JPG!skin1.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(22.941164, 5.0, -6.5546837)
1$B(41.5786, 3.0354393, -4.950614)$0P$(41.448154, 4.0784693, -3.4252815)$270.0$0$0$1A$(5.2219877, 4.0155735, -2.4988227)$91.46747$0$1$2A$(-18.114998, 4.0156097, 1.0930154)$104.69237$0$1$3A$(-7.595378, 4.0156164, -19.45258)$82.23628$0$0$4A$(29.940952, 3.997275, -25.45905)$291.0584$0$1$5N$(22.941164, 5.0, -6.5546837)$0.0$leftShoulderJoint:(0.0, 0.0, 0.0, 1.0);leftElbowJoint:(0.0, 0.0, 0.0, 1.0);rightShoulderJoint:(0.0, 0.0, 0.0, 1.0);rightElbowJoint:(0.0, 0.0, 0.0, 1.0);$0$
12$B(41.583897, 3.114663, -4.950614)$0P$(41.44816, 4.0792236, -3.4252815)$270.0$0$0$1A$(5.9464636, 4.0574856, -2.5412052)$91.46747$0$1$2A$(-17.465912, 4.0756745, 0.8785223)$104.69237$0$1$3A$(-7.080525, 4.0724807, -19.53102)$97.11565$0$1$4A$(29.361307, 4.070729, -25.106949)$300.70956$0$1$5N$(22.941164, 4.752025, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
13$B(41.583897, 3.114663, -4.950614)$0P$(41.44816, 4.078676, -3.4252815)$270.0$0$0$1A$(6.013016, 4.0547605, -2.5451028)$91.46747$0$1$2A$(-17.404964, 4.0761886, 0.8641521)$104.69237$0$1$3A$(-7.0195837, 4.073776, -19.540083)$97.11565$0$1$4A$(29.302608, 4.0723095, -25.089394)$299.31042$0$1$5N$(22.941164, 4.7138753, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
14$B(41.583897, 3.1141155, -4.950614)$0P$(41.44816, 4.078676, -3.4252815)$270.0$0$0$1A$(6.013016, 4.0547605, -2.5451028)$91.46747$0$1$2A$(-17.404964, 4.0761886, 0.8641521)$104.69237$0$1$3A$(-7.0195837, 4.073776, -19.540083)$97.11565$0$1$4A$(29.302608, 4.0723095, -25.089394)$298.2895$0$1$5N$(22.941164, 4.7138753, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
15$B(41.583897, 3.1141155, -4.950614)$0P$(41.44816, 4.07866, -3.4252815)$270.0$0$0$1A$(6.0703444, 4.0594273, -2.548457)$91.46747$0$1$2A$(-17.343588, 4.0763707, 0.84968287)$104.69237$0$1$3A$(-6.9536405, 4.0710506, -19.549877)$97.11565$0$1$4A$(29.241076, 4.0736003, -25.085993)$299.61362$0$1$5N$(22.941164, 4.6730003, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
16$B(41.583897, 3.1140993, -4.950614)$0P$(41.44816, 4.07866, -3.4252815)$270.0$0$0$1A$(6.0703444, 4.0594273, -2.548457)$91.46747$0$1$2A$(-17.343588, 4.0763707, 0.84968287)$104.69237$0$1$3A$(-6.9536405, 4.0710506, -19.549877)$97.11565$0$1$4A$(29.241076, 4.0736003, -25.085993)$298.80188$0$1$5N$(22.941164, 4.6730003, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
17$B(41.583897, 3.1140993, -4.950614)$0P$(41.44816, 4.07866, -3.4252815)$270.0$0$0$1A$(6.0703444, 4.0594273, -2.548457)$91.46747$0$1$2A$(-17.343588, 4.0763707, 0.84968287)$104.69237$0$1$3A$(-6.9536405, 4.0710506, -19.549877)$97.11565$0$1$4A$(29.241076, 4.0736003, -25.085993)$297.99066$0$1$5N$(22.941164, 4.6730003, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
18$B(41.583897, 3.1140993, -4.950614)$0P$(41.44816, 4.07866, -3.4252815)$270.0$0$0$1A$(6.0703444, 4.0594273, -2.548457)$91.46747$0$1$2A$(-17.343588, 4.0763707, 0.84968287)$104.69237$0$1$3A$(-6.9536405, 4.0710506, -19.549877)$97.11565$0$1$4A$(29.241076, 4.0736003, -25.085993)$297.1802$0$1$5N$(22.941164, 4.6730003, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
19$B(41.583897, 3.1140993, -4.950614)$0P$(41.44816, 4.079196, -3.4252815)$270.0$0$0$1A$(6.136897, 4.056702, -2.5523546)$91.46747$0$1$2A$(-17.282806, 4.0769925, 0.8353486)$104.69237$0$1$3A$(-6.893001, 4.0725937, -19.55889)$97.11565$0$1$4A$(29.180258, 4.0746217, -25.07412)$295.86285$0$1$5N$(22.941164, 4.6294003, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
20$B(41.583897, 3.1146352, -4.950614)$0P$(41.44816, 4.079196, -3.4252815)$270.0$0$0$1A$(6.136897, 4.056702, -2.5523546)$91.46747$0$1$2A$(-17.282806, 4.0769925, 0.8353486)$104.69237$0$1$3A$(-6.893001, 4.0725937, -19.55889)$97.11565$0$1$4A$(29.180258, 4.0746217, -25.07412)$293.50082$0$1$5N$(22.941164, 4.6294003, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
21$B(41.583897, 3.1146352, -4.950614)$0P$(41.44816, 4.0787134, -3.4252815)$270.0$0$0$1A$(6.194709, 4.0609813, -2.555737)$91.46747$0$1$2A$(-17.221521, 4.077229, 0.8208965)$104.69237$0$1$3A$(-6.832035, 4.0738697, -19.567945)$97.11565$0$1$4A$(29.11862, 4.0755353, -25.066658)$293.50082$0$1$5N$(22.941164, 4.583075, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
22$B(41.583897, 3.1141527, -4.950614)$0P$(41.44816, 4.078718, -3.4252815)$270.0$0$0$1A$(6.2612615, 4.058256, -2.5596347)$91.46747$0$1$2A$(-17.160173, 4.0774145, 0.8064292)$104.69237$0$1$3A$(-6.770988, 4.075058, -19.577015)$97.11565$0$1$4A$(29.063305, 4.076338, -25.038176)$292.3305$0$1$5N$(22.941164, 4.534025, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
23$B(41.583897, 3.1141574, -4.950614)$0P$(41.44816, 4.078718, -3.4252815)$270.0$0$0$1A$(6.2612615, 4.058256, -2.5596347)$91.46747$0$1$2A$(-17.160173, 4.0774145, 0.8064292)$104.69237$0$1$3A$(-6.770988, 4.075058, -19.577015)$97.11565$0$1$4A$(29.063305, 4.076338, -25.038176)$291.5808$0$1$5N$(22.941164, 4.534025, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
24$B(41.583897, 3.1141574, -4.950614)$0P$(41.44816, 4.078718, -3.4252815)$270.0$0$0$1A$(6.2612615, 4.058256, -2.5596347)$91.46747$0$1$2A$(-17.160173, 4.0774145, 0.8064292)$104.69237$0$1$3A$(-6.770988, 4.075058, -19.577015)$97.11565$0$1$4A$(29.063305, 4.076338, -25.038176)$292.58072$0$1$5N$(22.941164, 4.534025, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
25$B(41.583897, 3.1141574, -4.950614)$0P$(41.44816, 4.079234, -3.4252815)$270.0$0$0$1A$(6.327814, 4.055531, -2.5635324)$91.46747$0$1$2A$(-17.098797, 4.0775757, 0.79195786)$104.69237$0$1$3A$(-6.70504, 4.072333, -19.586779)$97.11565$0$1$4A$(29.007511, 4.076991, -25.010223)$291.56348$0$1$5N$(22.941164, 4.48225, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
26$B(41.583897, 3.1146734, -4.950614)$0P$(41.44816, 4.079234, -3.4252815)$270.0$0$0$1A$(6.327814, 4.055531, -2.5635324)$91.46747$0$1$2A$(-17.098797, 4.0775757, 0.79195786)$104.69237$0$1$3A$(-6.70504, 4.072333, -19.586779)$97.11565$0$1$4A$(29.007511, 4.076991, -25.010223)$290.84686$0$1$5N$(22.941164, 4.48225, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
27$B(41.583897, 3.1146734, -4.950614)$0P$(41.44816, 4.079234, -3.4252815)$270.0$0$0$1A$(6.327814, 4.055531, -2.5635324)$91.46747$0$1$2A$(-17.098797, 4.0775757, 0.79195786)$104.69237$0$1$3A$(-6.70504, 4.072333, -19.586779)$97.11565$0$1$4A$(29.007511, 4.076991, -25.010223)$289.83072$0$1$5N$(22.941164, 4.48225, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
28$B(41.583897, 3.1146734, -4.950614)$0P$(41.44816, 4.079234, -3.4252815)$270.0$0$0$1A$(6.327814, 4.055531, -2.5635324)$91.46747$0$1$2A$(-17.098797, 4.0775757, 0.79195786)$104.69237$0$1$3A$(-6.70504, 4.072333, -19.586779)$97.11565$0$1$4A$(29.007511, 4.076991, -25.010223)$290.80292$0$1$5N$(22.941164, 4.48225, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
29$B(41.583897, 3.1146734, -4.950614)$0P$(41.44816, 4.0791636, -3.4252815)$270.0$0$0$1A$(6.385303, 4.0600643, -2.5668964)$91.46747$0$1$2A$(-17.03738, 4.0777035, 0.777477)$104.69237$0$1$3A$(-6.6442313, 4.073733, -19.595741)$97.11565$0$1$4A$(28.955568, 4.0778294, -24.976147)$294.09937$0$1$5N$(22.941164, 4.42775, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
30$B(41.583897, 3.1146028, -4.950614)$0P$(41.44816, 4.078461, -3.4252815)$270.0$0$0$1A$(6.4518557, 4.057339, -2.570794)$91.46747$0$1$2A$(-16.975897, 4.077778, 0.7629754)$104.69237$0$1$3A$(-6.583035, 4.074831, -19.604712)$97.11565$0$1$4A$(28.90585, 4.079871, -24.942045)$295.38678$0$1$5N$(22.941164, 4.370525, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
31$B(41.583897, 3.1139004, -4.950614)$0P$(41.44816, 4.078461, -3.4252815)$270.0$0$0$1A$(6.4518557, 4.057339, -2.570794)$91.46747$0$1$2A$(-16.975897, 4.077778, 0.7629754)$104.69237$0$1$3A$(-6.583035, 4.074831, -19.604712)$97.11565$0$1$4A$(28.90585, 4.079871, -24.942045)$296.11295$0$1$5N$(22.941164, 4.370525, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
32$B(41.583897, 3.1139004, -4.950614)$0P$(41.44816, 4.078461, -3.4252815)$270.0$0$0$1A$(6.4518557, 4.057339, -2.570794)$91.46747$0$1$2A$(-16.975897, 4.077778, 0.7629754)$104.69237$0$1$3A$(-6.583035, 4.074831, -19.604712)$97.11565$0$1$4A$(28.90585, 4.079871, -24.942045)$295.29718$0$1$5N$(22.941164, 4.370525, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
33$B(41.583897, 3.1139004, -4.950614)$0P$(41.44816, 4.078461, -3.4252815)$270.0$0$0$1A$(6.4518557, 4.057339, -2.570794)$91.46747$0$1$2A$(-16.975897, 4.077778, 0.7629754)$104.69237$0$1$3A$(-6.583035, 4.074831, -19.604712)$97.11565$0$1$4A$(28.90585, 4.079871, -24.942045)$296.2233$0$1$5N$(22.941164, 4.370525, -6.5546837)$0.0$leftShoulderJoint:(0.004346784, 0.99529976, -0.08066266, 0.053413905);leftElbowJoint:(0.0124738645, 0.06415479, -7.81128E-4, 0.9978617);rightShoulderJoint:(-0.0050627575, 0.992756, 0.11109596, 0.045470603);rightElbowJoint:(0.007847527, 0.046850488, -3.69776E-4, 0.998871);$0$
