*------------------------------------*
NEWD!P!0!templateshirt.JPG!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(28.33449, 4.0, 5.0551033)
NEWD!A!1!shirtyellowbob.jpg!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(4.188759, 4.0, -49.317314)
NEWD!A!2!shirtyellowcarl.jpg!skinCarl.jpg!shortsblue.jpg!shoesgreen.jpg!Carl.jpg!(-25.907146, 4.0, -22.273657)
NEWD!A!3!shirtyellowalan.jpg!skinAlan.jpg!shortsblue.jpg!shoesgreen.jpg!Alan.jpg!(-15.410032, 4.0, 5.6521225)
NEWD!A!4!templateshirt.JPG!skinBob.jpg!shortsblue.jpg!shoesgreen.jpg!Bob.jpg!(42.169712, 4.0, -24.390009)
0$B(0.0, -4.1499996, 0.0)$0P$(28.33449, 4.0, 5.0551033)$274.539$leftShoulderJoint:(0.29368997, -0.93570536, -2.7521036E-8, 0.19545268);leftElbowJoint:(-0.029218147, -0.26376444, 3.352716E-8, 0.9641445);rightShoulderJoint:(-0.9336291, 0.31877473, 6.309012E-8, 0.16346104);rightElbowJoint:(-0.019697968, -0.15693101, -5.0506954E-10, 0.9874131);$0.0$1A$(4.188759, 4.0, -49.317314)$24.223923$0$4.0$2A$(-25.907146, 4.0, -22.273657)$63.2595$0$0.0$3A$(-15.410032, 4.0, 5.6521225)$90.78191$0$4.0$4A$(42.169712, 4.0, -24.390009)$278.01074$0$4.0$
10$B(27.972366, 3.0876317, 3.9156268)$0P$(28.335857, 4.078289, 5.054078)$273.795$leftShoulderJoint:(0.06096433, 0.07133838, 2.3223154E-10, 0.99558735);leftElbowJoint:(-0.1599668, 0.07305255, -9.285727E-9, 0.98441553);rightShoulderJoint:(0.019976178, 0.09140437, 1.1713537E-8, 0.99561346);rightElbowJoint:(0.08967721, -4.3058212E-4, 2.2993862E-9, 0.9959708);$0.0$1A$(5.0143485, 4.0641136, -48.862038)$59.632168$0$4.0$2A$(-25.190533, 4.067631, -22.288633)$88.66774$0$4.0$3A$(-14.469438, 4.071008, 5.5937667)$90.78191$0$4.0$4A$(41.272495, 4.075395, -24.149195)$284.15457$0$4.0$5N$(40.724583, 4.6294003, -35.2231)$0.0$0$0.0$
11$B(27.972366, 3.0876274, 3.9156268)$0P$(28.335857, 4.07841, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.068066, 4.066904, -48.83581)$59.632168$0$4.0$2A$(-25.123878, 4.0649056, -22.289938)$88.66774$0$4.0$3A$(-14.408098, 4.0724506, 5.589961)$90.78191$0$4.0$4A$(41.211376, 4.07553, -24.133377)$286.28687$0$4.0$5N$(40.724583, 4.583075, -35.2231)$0.0$0$0.0$
12$B(27.96777, 3.08927, 3.9134622)$0P$(28.335857, 4.0782933, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.1279764, 4.064179, -48.80657)$59.632168$0$4.0$2A$(-25.063974, 4.0675755, -22.2911)$88.66774$0$4.0$3A$(-14.346284, 4.0735226, 5.5861254)$90.78191$0$4.0$4A$(41.15283, 4.075761, -24.110119)$283.87222$0$4.0$5N$(40.724583, 4.534025, -35.2231)$0.0$0$0.0$
13$B(27.96777, 3.0891533, 3.9134622)$0P$(28.335857, 4.0782933, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.1279764, 4.064179, -48.80657)$59.632168$0$4.0$2A$(-25.063974, 4.0675755, -22.2911)$88.66774$0$4.0$3A$(-14.346284, 4.0735226, 5.5861254)$90.78191$0$4.0$4A$(41.15283, 4.075761, -24.110119)$285.16504$0$4.0$5N$(40.724583, 4.534025, -35.2231)$0.0$0$0.0$
14$B(27.96777, 3.0891533, 3.9134622)$0P$(28.335857, 4.078289, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.1878867, 4.061454, -48.777325)$59.632168$0$4.0$2A$(-24.99732, 4.0648503, -22.292366)$88.66774$0$4.0$3A$(-14.284316, 4.074461, 5.582279)$90.78191$0$4.0$4A$(41.096554, 4.075851, -24.081388)$282.99347$0$4.0$5N$(40.724583, 4.48225, -35.2231)$0.0$0$0.0$
15$B(27.96777, 3.089149, 3.9134622)$0P$(28.335857, 4.078289, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.1878867, 4.061454, -48.777325)$59.632168$0$4.0$2A$(-24.99732, 4.0648503, -22.292366)$88.66774$0$4.0$3A$(-14.284316, 4.074461, 5.582279)$90.78191$0$4.0$4A$(41.096554, 4.075851, -24.081388)$281.92072$0$4.0$5N$(40.724583, 4.48225, -35.2231)$0.0$0$0.0$
16$B(27.96777, 3.089149, 3.9134622)$0P$(28.335857, 4.07841, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.247797, 4.0587287, -48.74808)$59.632168$0$4.0$2A$(-24.937479, 4.067564, -22.293482)$88.66774$0$4.0$3A$(-14.217777, 4.071736, 5.5781503)$90.78191$0$4.0$4A$(41.033585, 4.0758615, -24.08776)$284.21106$0$4.0$5N$(40.724583, 4.42775, -35.2231)$0.0$0$0.0$
17$B(27.96777, 3.08927, 3.9134622)$0P$(28.335857, 4.07841, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.247797, 4.0587287, -48.74808)$59.632168$0$4.0$2A$(-24.937479, 4.067564, -22.293482)$88.66774$0$4.0$3A$(-14.217777, 4.071736, 5.5781503)$90.78191$0$4.0$4A$(41.033585, 4.0758615, -24.08776)$285.53104$0$4.0$5N$(40.724583, 4.42775, -35.2231)$0.0$0$0.0$
18$B(27.96777, 3.08927, 3.9134622)$0P$(28.335857, 4.0782933, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.3003025, 4.0625978, -48.72245)$59.632168$0$4.0$2A$(-24.876984, 4.069753, -22.294617)$88.66774$0$4.0$3A$(-14.156255, 4.0730314, 5.5743318)$90.78191$0$4.0$4A$(40.97769, 4.076042, -24.058563)$287.3677$0$4.0$5N$(40.724583, 4.370525, -35.2231)$0.0$0$0.0$
19$B(27.96777, 3.0891533, 3.9134622)$0P$(28.335857, 4.0782933, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.3003025, 4.0625978, -48.72245)$59.632168$0$4.0$2A$(-24.876984, 4.069753, -22.294617)$88.66774$0$4.0$3A$(-14.156255, 4.0730314, 5.5743318)$90.78191$0$4.0$4A$(40.97769, 4.076042, -24.058563)$286.49377$0$4.0$5N$(40.724583, 4.370525, -35.2231)$0.0$0$0.0$
20$B(27.96777, 3.0891533, 3.9134622)$0P$(28.335857, 4.078289, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.360213, 4.0598726, -48.693207)$59.632168$0$4.0$2A$(-24.810328, 4.067028, -22.295834)$88.66774$0$4.0$3A$(-14.09441, 4.0740685, 5.570494)$90.78191$0$4.0$4A$(40.914345, 4.0760064, -24.058641)$284.04932$0$4.0$5N$(40.724583, 4.310575, -35.2231)$0.0$0$0.0$
21$B(27.96777, 3.089149, 3.9134622)$0P$(28.335857, 4.078289, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.360213, 4.0598726, -48.693207)$59.632168$0$4.0$2A$(-24.810328, 4.067028, -22.295834)$88.66774$0$4.0$3A$(-14.09441, 4.0740685, 5.570494)$90.78191$0$4.0$4A$(40.914345, 4.0760064, -24.058641)$284.04932$0$4.0$5N$(40.724583, 4.310575, -35.2231)$0.0$0$0.0$
22$B(27.96777, 3.089149, 3.9134622)$0P$(28.335857, 4.07841, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.4129734, 4.063514, -48.66745)$59.632168$0$4.0$2A$(-24.749958, 4.0693192, -22.29694)$88.66774$0$4.0$3A$(-14.027871, 4.0713434, 5.5663652)$90.78191$0$4.0$4A$(40.8533, 4.0760736, -24.04225)$285.85245$0$4.0$5N$(40.724583, 4.2479, -35.2231)$0.0$0$0.0$
23$B(27.96777, 3.08927, 3.9134622)$0P$(28.335857, 4.07841, 5.054078)$273.853$leftShoulderJoint:(0.06069606, 0.07173543, 2.4712526E-10, 0.99557525);leftElbowJoint:(-0.15986499, 0.072398834, -9.202633E-9, 0.9844804);rightShoulderJoint:(0.018656144, 0.091265224, 1.1724292E-8, 0.99565184);rightElbowJoint:(0.091262504, 0.0014273174, 2.3400342E-9, 0.9958258);$0.0$1A$(5.4129734, 4.063514, -48.66745)$59.632168$0$4.0$2A$(-24.749958, 4.0693192, -22.29694)$88.66774$0$4.0$3A$(-14.027871, 4.0713434, 5.5663652)$90.78191$0$4.0$4A$(40.8533, 4.0760736, -24.04225)$286.7587$0$4.0$5N$(40.724583, 4.2479, -35.2231)$0.0$0$0.0$
24$B(27.96777, 3.08927, 3.9134622)$0P$(28.335857, 4.07841, 5.054078)$273.901$leftShoulderJoint:(0.060556483, 0.07077615, 2.2877567E-10, 0.9956524);leftElbowJoint:(-0.1597405, 0.07432607, -9.4476045E-9, 0.98435694);rightShoulderJoint:(0.018108167, 0.09171946, 1.1796851E-8, 0.99562025);rightElbowJoint:(0.08697572, -0.0013623834, 2.230118E-9, 0.9962095);$0.0$1A$(5.4129734, 4.063514, -48.66745)$59.632168$0$4.0$2A$(-24.749958, 4.0693192, -22.29694)$88.66774$0$4.0$3A$(-14.027871, 4.0713434, 5.5663652)$90.78191$0$4.0$4A$(40.8533, 4.0760736, -24.04225)$287.80368$0$4.0$5N$(40.724583, 4.2479, -35.2231)$0.0$0$0.0$
25$B(27.973064, 3.0885763, 3.897149)$0P$(28.335857, 4.0782933, 5.054078)$273.901$leftShoulderJoint:(0.060556483, 0.07077615, 2.2877567E-10, 0.9956524);leftElbowJoint:(-0.1597405, 0.07432607, -9.4476045E-9, 0.98435694);rightShoulderJoint:(0.018108167, 0.09171946, 1.1796851E-8, 0.99562025);rightElbowJoint:(0.08697572, -0.0013623834, 2.230118E-9, 0.9962095);$0.0$1A$(5.4728837, 4.060789, -48.638206)$59.632168$0$4.0$2A$(-24.683302, 4.066594, -22.29814)$88.66774$0$4.0$3A$(-13.966447, 4.0727177, 5.5625534)$90.78191$0$4.0$4A$(40.803093, 4.0763884, -24.004404)$291.68314$0$4.0$5N$(40.724583, 4.1825, -35.2231)$0.0$0$0.0$
26$B(27.973064, 3.0884595, 3.897149)$0P$(28.335857, 4.078289, 5.054078)$273.901$leftShoulderJoint:(0.060556483, 0.07077615, 2.2877567E-10, 0.9956524);leftElbowJoint:(-0.1597405, 0.07432607, -9.4476045E-9, 0.98435694);rightShoulderJoint:(0.018108167, 0.09171946, 1.1796851E-8, 0.99562025);rightElbowJoint:(0.08697572, -0.0013623834, 2.230118E-9, 0.9962095);$0.0$1A$(5.532794, 4.058064, -48.608963)$59.632168$0$4.0$2A$(-24.623035, 4.0689673, -22.299194)$88.66774$0$4.0$3A$(-13.904679, 4.073817, 5.5587196)$90.78191$0$4.0$4A$(40.750977, 4.076615, -23.969032)$291.68314$0$4.0$5N$(40.724583, 4.1143746, -35.2231)$0.0$0$0.0$
27$B(27.973064, 3.0884552, 3.897149)$0P$(28.335857, 4.07841, 5.054078)$273.901$leftShoulderJoint:(0.060556483, 0.07077615, 2.2877567E-10, 0.9956524);leftElbowJoint:(-0.1597405, 0.07432607, -9.4476045E-9, 0.98435694);rightShoulderJoint:(0.018108167, 0.09171946, 1.1796851E-8, 0.99562025);rightElbowJoint:(0.08697572, -0.0013623834, 2.230118E-9, 0.9962095);$0.0$1A$(5.5927043, 4.055339, -48.57972)$59.632168$0$4.0$2A$(-24.556377, 4.066242, -22.300322)$88.66774$0$4.0$3A$(-13.842788, 4.0748034, 5.5548778)$90.78191$0$4.0$4A$(40.69117, 4.0766573, -23.948503)$289.27786$0$4.0$5N$(40.724583, 4.0435247, -35.2231)$0.0$0$0.0$
28$B(27.973064, 3.0885763, 3.897149)$0P$(28.335857, 4.07841, 5.054078)$273.901$leftShoulderJoint:(0.060556483, 0.07077615, 2.2877567E-10, 0.9956524);leftElbowJoint:(-0.1597405, 0.07432607, -9.4476045E-9, 0.98435694);rightShoulderJoint:(0.018108167, 0.09171946, 1.1796851E-8, 0.99562025);rightElbowJoint:(0.08697572, -0.0013623834, 2.230118E-9, 0.9962095);$0.0$1A$(5.5927043, 4.055339, -48.57972)$59.632168$0$4.0$2A$(-24.556377, 4.066242, -22.300322)$88.66774$0$4.0$3A$(-13.842788, 4.0748034, 5.5548778)$90.78191$0$4.0$4A$(40.69117, 4.0766573, -23.948503)$287.97937$0$4.0$5N$(40.724583, 4.0435247, -35.2231)$0.0$0$0.0$
29$B(27.973064, 3.0885763, 3.897149)$0P$(28.335857, 4.0782933, 5.054078)$273.901$leftShoulderJoint:(0.060556483, 0.07077615, 2.2877567E-10, 0.9956524);leftElbowJoint:(-0.1597405, 0.07432607, -9.4476045E-9, 0.98435694);rightShoulderJoint:(0.018108167, 0.09171946, 1.1796851E-8, 0.99562025);rightElbowJoint:(0.08697572, -0.0013623834, 2.230118E-9, 0.9962095);$0.0$1A$(5.6526146, 4.0526137, -48.550476)$59.632168$0$4.0$2A$(-24.496193, 4.068682, -22.301325)$88.66774$0$4.0$3A$(-13.776249, 4.072078, 5.550749)$90.78191$0$4.0$4A$(40.628334, 4.076587, -23.940212)$285.93945$0$4.0$5N$(40.724583, 4.0504346, -35.2231)$0.0$0$0.0$
30$B(27.973064, 3.0884595, 3.897149)$0P$(28.335857, 4.0782933, 5.054078)$273.901$leftShoulderJoint:(0.060556483, 0.07077615, 2.2877567E-10, 0.9956524);leftElbowJoint:(-0.1597405, 0.07432607, -9.4476045E-9, 0.98435694);rightShoulderJoint:(0.018108167, 0.09171946, 1.1796851E-8, 0.99562025);rightElbowJoint:(0.08697572, -0.0013623834, 2.230118E-9, 0.9962095);$0.0$1A$(5.6526146, 4.0526137, -48.550476)$59.632168$0$4.0$2A$(-24.496193, 4.068682, -22.301325)$88.66774$0$4.0$3A$(-13.776249, 4.072078, 5.550749)$90.78191$0$4.0$4A$(40.628334, 4.076587, -23.940212)$285.93945$0$4.0$5N$(40.724583, 4.0504346, -35.2231)$0.0$0$0.0$
31$B(27.973064, 3.0884595, 3.897149)$0P$(28.335857, 4.0782933, 5.054078)$273.901$leftShoulderJoint:(0.060556483, 0.07077615, 2.2877567E-10, 0.9956524);leftElbowJoint:(-0.1597405, 0.07432607, -9.4476045E-9, 0.98435694);rightShoulderJoint:(0.018108167, 0.09171946, 1.1796851E-8, 0.99562025);rightElbowJoint:(0.08697572, -0.0013623834, 2.230118E-9, 0.9962095);$0.0$1A$(5.6526146, 4.0526137, -48.550476)$59.632168$0$4.0$2A$(-24.496193, 4.068682, -22.301325)$88.66774$0$4.0$3A$(-13.776249, 4.072078, 5.550749)$90.78191$0$4.0$4A$(40.628334, 4.076587, -23.940212)$286.8333$0$4.0$5N$(40.724583, 4.0504346, -35.2231)$0.0$0$0.0$
